RW,RQWt,RQBt,MQWt,LW,LQWt,LQBt,max_energy_eV,max_photocurrent,quality_factor,prominence
6,1.477109237888549975e+00,6.466402415909104029e+00,2.637000000000000011e+00,4,9.791986869552466999e+00,9.375999999999999446e+00,4.516000281792137230e+02,2.021607011953741184e-09,0.000000000000000000e+00,3.397032451829659627e-01
7,1.757670811083480666e+00,8.222240136594649584e+00,2.424772786718045303e+00,3,1.450914922217966696e+00,9.917400917394388671e+00,2.779000173405746068e+02,1.321731415500111735e-10,0.000000000000000000e+00,8.593252669605519145e+00
7,4.601273426308811310e+00,6.589376010106586357e+00,3.109376558720370554e+00,2,1.453916285384973861e+00,7.040603667656524678e+00,4.436000276800247661e+02,5.451712721050734966e-10,6.428985507246306952e+01,2.138793477576261259e-01
6,1.297700738928496911e+00,5.851075518569793132e+00,2.649651402614336071e+00,2,9.543567939399306255e+00,9.376104578843637682e+00,4.604000287283215016e+02,7.473973605835812988e-11,1.504575163398694926e+01,1.302363187704579373e+00
6,1.228986100357591482e+00,6.620519270094717967e+00,2.612129486307761983e+00,3,9.668999999999998707e+00,6.882608520752755865e+00,4.996000311743471798e+02,7.676380615831439627e-10,0.000000000000000000e+00,5.182465145460955824e+00
7,4.824629636069192706e+00,6.189829502321676280e+00,3.041191508130773435e+00,2,2.584478451918600150e+00,5.168719750710311089e+00,4.427000276238660490e+02,7.193933819769357075e-10,1.844583333333360713e+02,2.137554875639204877e-01
7,7.593269293167749012e+00,5.567032705099375534e+00,3.210880159052176275e+00,3,1.767486685817672099e+00,6.726499267707504615e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.315886984715145598e-04,0.000000000000000000e+00
7,8.416261871132492800e+00,7.960418580571411162e+00,7.910999999999999588e+00,4,5.566999999999999282e+00,4.793945391640918707e+00,4.933000307812358756e+02,2.153593173691991303e-12,7.149275362318880411e+01,3.104894328614677106e-03
5,4.825508200513286106e+00,7.863508578380689507e+00,3.109205364003820637e+00,2,9.587677619374654014e+00,9.264941662354770457e+00,4.240000264570119839e+02,3.550498738727538203e-10,9.217391304347763992e+01,2.551923570142817232e-01
6,3.870103815452660356e+00,6.191123860175303584e+00,2.891792910674935158e+00,5,3.523353205440324487e+00,5.072163869601366670e+00,4.874000304130840959e+02,1.867930624994567774e-10,2.309952606635075156e+01,5.952296145120283127e-02
7,1.446783579479355542e+00,6.589376010106586357e+00,3.177705225247770215e+00,3,1.424420196261776850e+00,7.058795130721150279e+00,3.369000210220928011e+02,5.522807120604925184e-12,0.000000000000000000e+00,4.188104436700917255e+00
7,1.758000000000000007e+00,9.126424931006797081e+00,2.637000000000000011e+00,2,1.467445552773963380e+00,8.544936255666616631e+00,3.084000192437322880e+02,5.632831488811201946e-11,3.084000000000703039e+03,1.647918033647217895e+00
7,1.293539020854877597e+00,7.863508578380689507e+00,3.177534030531219855e+00,3,2.074313945985865715e+00,8.575755140700341173e+00,4.282000267190861678e+02,1.290960129592985273e-11,4.281999999998542989e+03,4.864789132663619675e+00
5,1.448534023636299128e+00,6.485628367404744132e+00,1.621697758301537950e+00,4,9.776363934285031476e+00,9.286785185897159067e+00,4.961000309559519792e+02,1.633061326246742287e-09,2.480500000001270564e+03,3.617816427058946793e+00
7,1.738124242390888696e+00,8.789999999999999147e+00,2.637000000000000011e+00,3,1.464999999999999858e+00,8.578492904592804891e+00,4.013000250405635256e+02,3.782917612376752225e-11,4.013000000005477887e+03,5.328510789081768451e+00
6,7.849391569255745438e+00,7.864802936192091032e+00,7.979013347465381933e+00,5,3.524449925058216415e+00,8.369840044535980184e+00,4.971000310183505917e+02,1.343262068328051664e-10,8.570689655172351706e+01,1.049848492060577593e-01
